-86.3	-1
-82.3	-0.8
-82.3	-0.6
-83.6	-0.4
-82.1	-0.4
-79.7	-0.2
-77.5	-0.2
-75.3	-0.2
-73.4	-0.2
-71.6	-0.2
-70	-0.2
-68.4	-0.2
-66.4	-0.2
-65.1	0
-63.9	0
-62.4	0.4
-60.6	0.2
59.5	0.2
-58.1	0.2
-56.7	0.2
-55.5	0.5
-54.1	0.7
-62.4	0.4
-60.6	0.2
-59.5	0.2
-58.1	0.2
-56.7	0.2
-55.5	0.5
-54.1	0.7
-52.9	0.5
-51.5	0.8
-50	-0.3
-48.8	-2.4
-47.3	-0.9
-46.2	-1.9
-44.9	-1.9
-43.5	-1.3
-41.8	-1.3
-40.8	-1.6
-39.5	-1.6
-38.1	-1.4
-37	-1.3
-35.5	-1.5
-34	-1.8
-32.6	-2.2
-31	-2.7
-29.5	-3.3
-27.9	-4.1
-26.5	-5
-25.3	-5.8
-23.8	-6.9
-22.5	-7.9
-21.1	-9
-19.8	-11
-18.5	-12
-17.1	-12
-15.8	-13
-14	-13
-12.5	-13
-10.9	-12
-9.4	-11
-7.9	-10
-6.5	-8
-5.1	-5.8
-3.7	-4.9
-2.4	-4.2
-1.2	-3.9
-0.4	-3.8
3.2	-4.2
4.8	-4.5
6.4	-4.9
8	-5.2
9.5	-5.5
11.1	-5.9
12.7	-6.2
14.1	-6.5
15.6	-6.8
16.9	-7.1
18.2	-7.4
19.6	-7.8
20.9	-8.1
22.3	-8.5
23.6	-9.2
25.2	-11
26.7	-12
28.7	-13
30.6	-15
32.3	-17
33.9	-19
35.4	-20
37	-21
38.5	-23
39.9	-24
41.5	-25
42.7	-25
44	-25
