#Polwinkel | U max | U min [V]
-5	6	4.155
0	4.75	3.812
5	4.188	3.250
10	3.938	2.562
15	3.812	2.215
20	3.312	1.75
25	3.375	1.250
30	3.25	1.188
35	3	0.875
40	2.875	0.812
45	2.938	0.937
50	3.438	0.875
55	3.812	0.812
60	4	0.875
65	4.312	1.125
70	4.875	1.5
75	4.75	1.812
80	5.062	2.375
85	4.75	3
90	4.938	3.812
95	5.125	3.938
100	6.438	3.875	
