x-axis,1,2
second,Volt,Volt
-20.000E-03,+0.0E+00,-23.078E-03
-18.850E-03,-7.538E-03,-3.480E-03
-17.700E-03,+7.538E-03,-7.500E-03
-16.550E-03,+0.0E+00,-19.058E-03
-15.400E-03,-8.040E-03,-7.500E-03
-14.250E-03,-8.040E-03,+540E-06
-13.100E-03,+0.0E+00,+38E-06
-11.950E-03,-4.020E-03,-3.982E-03
-10.800E-03,+0.0E+00,+8.078E-03
-9.650E-03,-8.040E-03,-7.500E-03
-8.500E-03,+15.578E-03,-15.038E-03
-7.350E-03,-8.040E-03,-3.480E-03
-6.200E-03,+0.0E+00,-7.500E-03
-5.050E-03,-12.060E-03,+540E-06
-3.900E-03,+0.0E+00,-23.078E-03
-2.750E-03,-4.020E-03,-3.982E-03
-1.600E-03,+0.0E+00,-7.500E-03
-450E-06,+4.020E-03,-7.500E-03
+700E-06,-209.045E-03,+450.289E-03
+1.850E-03,-228.643E-03,+269.384E-03
+3.000E-03,-192.462E-03,+161.344E-03
+4.150E-03,-168.844E-03,+92.500E-03
+5.300E-03,-128.141E-03,+40.741E-03
+6.450E-03,-104.020E-03,+12.098E-03
+7.600E-03,-96.482E-03,-15.540E-03
+8.750E-03,-80.402E-03,-39.661E-03
+9.900E-03,-48.241E-03,-63.279E-03
+11.050E-03,-40.201E-03,+48.781E-03
+12.200E-03,-64.322E-03,+40.239E-03
+13.350E-03,-80.402E-03,+20.641E-03
+14.500E-03,-96.482E-03,+8.580E-03
+15.650E-03,-116.583E-03,-23.580E-03
+16.800E-03,-136.683E-03,-71.319E-03
+17.950E-03,-168.844E-03,-124.083E-03
+19.100E-03,-217.085E-03,-176.344E-03
+20.250E-03,-265.327E-03,-300.465E-03
+21.400E-03,-184.925E-03,-505.992E-03
+22.550E-03,+51.759E-03,-525.590E-03
+23.700E-03,+144.724E-03,-329.108E-03
+24.850E-03,+148.241E-03,-228.103E-03
+26.000E-03,+120.101E-03,-136.143E-03
+27.150E-03,+104.523E-03,-95.440E-03
+28.300E-03,+88.442E-03,-47.198E-03
+29.450E-03,+84.422E-03,-15.540E-03
+30.600E-03,+72.362E-03,+8.078E-03
+31.750E-03,+72.362E-03,+24.661E-03
+32.900E-03,+0.0E+00,+8.078E-03
+34.050E-03,+56.281E-03,-35.641E-03
+35.200E-03,+79.899E-03,-15.540E-03
+36.350E-03,+88.442E-03,-11.520E-03
+37.500E-03,+104.020E-03,+32.198E-03
+38.650E-03,+112.563E-03,+64.862E-03
+39.800E-03,+136.683E-03,+105.063E-03
