x-axis,1,2
second,Volt,Volt
-46.000E-03,+0.0E+00,+540E-06
-44.850E-03,-3.518E-03,-3.480E-03
-43.700E-03,+0.0E+00,-15.038E-03
-42.550E-03,+0.0E+00,+540E-06
-41.400E-03,+0.0E+00,+540E-06
-40.250E-03,-16.080E-03,+540E-06
-39.100E-03,+0.0E+00,-7.500E-03
-37.950E-03,-3.518E-03,-3.480E-03
-36.800E-03,+0.0E+00,+540E-06
-35.650E-03,-3.518E-03,-7.500E-03
-34.500E-03,-7.538E-03,-7.500E-03
-33.350E-03,+0.0E+00,+540E-06
-32.200E-03,+0.0E+00,-7.500E-03
-31.050E-03,+0.0E+00,-15.540E-03
-29.900E-03,+0.0E+00,+8.078E-03
-28.750E-03,-8.040E-03,-11.018E-03
-27.600E-03,+0.0E+00,-7.500E-03
-26.450E-03,+0.0E+00,+540E-06
-25.300E-03,-7.538E-03,+540E-06
-24.150E-03,-8.040E-03,+38E-06
-23.000E-03,-15.578E-03,-15.038E-03
-21.850E-03,-3.518E-03,-7.500E-03
-20.700E-03,+7.538E-03,+540E-06
-19.550E-03,+0.0E+00,-7.500E-03
-18.400E-03,+0.0E+00,-7.500E-03
-17.250E-03,-7.538E-03,+540E-06
-16.100E-03,-8.040E-03,-7.500E-03
-14.950E-03,-11.558E-03,-11.018E-03
-13.800E-03,+15.578E-03,+8.078E-03
-12.650E-03,-3.518E-03,-11.520E-03
-11.500E-03,+0.0E+00,+38E-06
-10.350E-03,-8.040E-03,+38E-06
-9.200E-03,+0.0E+00,-15.038E-03
-8.050E-03,-3.518E-03,-7.500E-03
-6.900E-03,+0.0E+00,-23.078E-03
-5.750E-03,-3.518E-03,-3.480E-03
-4.600E-03,+7.538E-03,-15.038E-03
-3.450E-03,+12.060E-03,-15.038E-03
-2.300E-03,-7.538E-03,-7.500E-03
-1.150E-03,-7.538E-03,-7.500E-03
-0.0E+00,-88.442E-03,+635.214E-03
+1.150E-03,-252.764E-03,+377.927E-03
+2.300E-03,-232.663E-03,+209.083E-03
+3.450E-03,-180.905E-03,+116.621E-03
+4.600E-03,-160.302E-03,+48.781E-03
+5.750E-03,-116.080E-03,+24.661E-03
+6.900E-03,-120.101E-03,-7.500E-03
+8.050E-03,-92.462E-03,-31.118E-03
+9.200E-03,-72.362E-03,-55.239E-03
+10.350E-03,-56.281E-03,-67.299E-03
+11.500E-03,+56.281E-03,-71.319E-03
+12.650E-03,+60.302E-03,-51.219E-03
+13.800E-03,+87.940E-03,-39.661E-03
+14.950E-03,+100.503E-03,-7.500E-03
